,C,K,rounds,df_loc
0,1,12,10,./data/acc_test_20210825-194146.csv
1,1,50,10,./data/acc_test_20210825-194335.csv
2,1,100,10,./data/acc_test_20210825-194543.csv
3,1,1000,10,./data/acc_test_20210825-200004.csv
4,0.5,12,10,./data/acc_test_20210825-200050.csv
5,0.5,50,10,./data/acc_test_20210825-200153.csv
6,0.5,100,10,./data/acc_test_20210825-200308.csv
7,0.5,1000,10,./data/acc_test_20210825-201114.csv
8,0.1,12,10,./data/acc_test_20210825-201140.csv
9,0.1,50,10,./data/acc_test_20210825-201208.csv
10,0.1,100,10,./data/acc_test_20210825-201242.csv
11,0.1,1000,10,./data/acc_test_20210825-201550.csv
