,C,K,rounds,epochs,df_loc
0,1,12,10,1,./data/acc_test_20210825-221729.csv
1,1,12,10,3,./data/acc_test_20210825-221845.csv
2,1,12,10,7,./data/acc_test_20210825-222119.csv
3,1,50,10,1,./data/acc_test_20210825-222217.csv
4,1,50,10,3,./data/acc_test_20210825-222406.csv
5,1,50,10,7,./data/acc_test_20210825-222735.csv
6,1,100,10,1,./data/acc_test_20210825-222855.csv
7,1,100,10,3,./data/acc_test_20210825-223104.csv
8,1,100,10,7,./data/acc_test_20210825-223454.csv
9,1,1000,10,1,./data/acc_test_20210825-224353.csv
10,1,1000,10,3,./data/acc_test_20210825-225813.csv
11,1,1000,10,7,./data/acc_test_20210825-232335.csv
12,0.5,12,10,1,./data/acc_test_20210825-232403.csv
13,0.5,12,10,3,./data/acc_test_20210825-232448.csv
14,0.5,12,10,7,./data/acc_test_20210825-232612.csv
15,0.5,50,10,1,./data/acc_test_20210825-232651.csv
16,0.5,50,10,3,./data/acc_test_20210825-232754.csv
17,0.5,50,10,7,./data/acc_test_20210825-232948.csv
18,0.5,100,10,1,./data/acc_test_20210825-233039.csv
19,0.5,100,10,3,./data/acc_test_20210825-233156.csv
20,0.5,100,10,7,./data/acc_test_20210825-233403.csv
21,0.5,1000,10,1,./data/acc_test_20210825-233925.csv
22,0.5,1000,10,3,./data/acc_test_20210825-234731.csv
23,0.5,1000,10,7,./data/acc_test_20210826-000058.csv
24,0.1,12,10,1,./data/acc_test_20210826-000118.csv
25,0.1,12,10,3,./data/acc_test_20210826-000143.csv
26,0.1,12,10,7,./data/acc_test_20210826-000221.csv
27,0.1,50,10,1,./data/acc_test_20210826-000243.csv
28,0.1,50,10,3,./data/acc_test_20210826-000311.csv
29,0.1,50,10,7,./data/acc_test_20210826-000348.csv
30,0.1,100,10,1,./data/acc_test_20210826-000417.csv
31,0.1,100,10,3,./data/acc_test_20210826-000451.csv
32,0.1,100,10,7,./data/acc_test_20210826-000535.csv
33,0.1,1000,10,1,./data/acc_test_20210826-000811.csv
34,0.1,1000,10,3,./data/acc_test_20210826-001119.csv
35,0.1,1000,10,7,./data/acc_test_20210826-001534.csv
