C,K,rounds,epochs,mu,df_loc
1,12,100,1,"[1.0, 0.0]",./data/acc_test_20210826-161646.csv
1,12,100,1,"[1.0, 0.0]",./data/acc_test_20210826-162136.csv
1,12,100,3,"[1.0, 0.0]",./data/acc_test_20210826-163248.csv
1,12,100,3,"[1.0, 0.0]",./data/acc_test_20210826-164357.csv
1,12,100,7,"[1.0, 0.0]",./data/acc_test_20210826-170736.csv
1,12,100,7,"[1.0, 0.0]",./data/acc_test_20210826-173114.csv
1,50,100,1,"[1.0, 0.0]",./data/acc_test_20210826-173919.csv
1,50,100,1,"[1.0, 0.0]",./data/acc_test_20210826-174718.csv
1,50,100,3,"[1.0, 0.0]",./data/acc_test_20210826-180346.csv
1,50,100,3,"[1.0, 0.0]",./data/acc_test_20210826-181955.csv
1,50,100,7,"[1.0, 0.0]",./data/acc_test_20210826-185227.csv
1,50,100,7,"[1.0, 0.0]",./data/acc_test_20210826-192510.csv
1,100,100,1,"[1.0, 0.0]",./data/acc_test_20210826-193621.csv
1,100,100,1,"[1.0, 0.0]",./data/acc_test_20210826-194730.csv
1,100,100,3,"[1.0, 0.0]",./data/acc_test_20210826-200644.csv
1,100,100,3,"[1.0, 0.0]",./data/acc_test_20210826-202618.csv
1,100,100,7,"[1.0, 0.0]",./data/acc_test_20210826-210204.csv
1,100,100,7,"[1.0, 0.0]",./data/acc_test_20210826-213740.csv
1,1000,100,1,"[1.0, 0.0]",./data/acc_test_20210826-225620.csv
1,1000,100,1,"[1.0, 0.0]",./data/acc_test_20210827-001533.csv
1,1000,100,3,"[1.0, 0.0]",./data/acc_test_20210827-022927.csv
1,1000,100,3,"[1.0, 0.0]",./data/acc_test_20210827-044234.csv
1,1000,100,7,"[1.0, 0.0]",./data/acc_test_20210827-084441.csv
1,1000,100,7,"[1.0, 0.0]",./data/acc_test_20210827-124642.csv
0.5,12,100,1,"[1.0, 0.0]",./data/acc_test_20210827-124943.csv
0.5,12,100,1,"[1.0, 0.0]",./data/acc_test_20210827-125242.csv
0.5,12,100,3,"[1.0, 0.0]",./data/acc_test_20210827-125849.csv
0.5,12,100,3,"[1.0, 0.0]",./data/acc_test_20210827-130457.csv
0.5,12,100,7,"[1.0, 0.0]",./data/acc_test_20210827-131717.csv
0.5,12,100,7,"[1.0, 0.0]",./data/acc_test_20210827-132941.csv
0.5,50,100,1,"[1.0, 0.0]",./data/acc_test_20210827-133424.csv
0.5,50,100,1,"[1.0, 0.0]",./data/acc_test_20210827-133905.csv
0.5,50,100,3,"[1.0, 0.0]",./data/acc_test_20210827-134751.csv
0.5,50,100,3,"[1.0, 0.0]",./data/acc_test_20210827-135638.csv
0.5,50,100,7,"[1.0, 0.0]",./data/acc_test_20210827-141334.csv
0.5,50,100,7,"[1.0, 0.0]",./data/acc_test_20210827-143031.csv
0.5,100,100,1,"[1.0, 0.0]",./data/acc_test_20210827-143656.csv
0.5,100,100,1,"[1.0, 0.0]",./data/acc_test_20210827-144321.csv
0.5,100,100,3,"[1.0, 0.0]",./data/acc_test_20210827-145400.csv
0.5,100,100,3,"[1.0, 0.0]",./data/acc_test_20210827-150454.csv
0.5,100,100,7,"[1.0, 0.0]",./data/acc_test_20210827-152334.csv
0.5,100,100,7,"[1.0, 0.0]",./data/acc_test_20210827-154218.csv
0.5,1000,100,1,"[1.0, 0.0]",./data/acc_test_20210827-162540.csv
0.5,1000,100,1,"[1.0, 0.0]",./data/acc_test_20210827-170929.csv
0.5,1000,100,3,"[1.0, 0.0]",./data/acc_test_20210827-182023.csv
0.5,1000,100,3,"[1.0, 0.0]",./data/acc_test_20210827-193131.csv
0.5,1000,100,7,"[1.0, 0.0]",./data/acc_test_20210827-213607.csv
0.5,1000,100,7,"[1.0, 0.0]",./data/acc_test_20210827-234008.csv
0.1,12,100,1,"[1.0, 0.0]",./data/acc_test_20210827-234154.csv
0.1,12,100,1,"[1.0, 0.0]",./data/acc_test_20210827-234339.csv
0.1,12,100,3,"[1.0, 0.0]",./data/acc_test_20210827-234624.csv
0.1,12,100,3,"[1.0, 0.0]",./data/acc_test_20210827-234911.csv
0.1,12,100,7,"[1.0, 0.0]",./data/acc_test_20210827-235405.csv
0.1,12,100,7,"[1.0, 0.0]",./data/acc_test_20210827-235858.csv
0.1,50,100,1,"[1.0, 0.0]",./data/acc_test_20210828-000102.csv
0.1,50,100,1,"[1.0, 0.0]",./data/acc_test_20210828-000306.csv
0.1,50,100,3,"[1.0, 0.0]",./data/acc_test_20210828-000600.csv
0.1,50,100,3,"[1.0, 0.0]",./data/acc_test_20210828-000856.csv
0.1,50,100,7,"[1.0, 0.0]",./data/acc_test_20210828-001328.csv
0.1,50,100,7,"[1.0, 0.0]",./data/acc_test_20210828-001800.csv
0.1,100,100,1,"[1.0, 0.0]",./data/acc_test_20210828-002043.csv
0.1,100,100,1,"[1.0, 0.0]",./data/acc_test_20210828-002326.csv
0.1,100,100,3,"[1.0, 0.0]",./data/acc_test_20210828-002659.csv
0.1,100,100,3,"[1.0, 0.0]",./data/acc_test_20210828-003030.csv
0.1,100,100,7,"[1.0, 0.0]",./data/acc_test_20210828-003540.csv
0.1,100,100,7,"[1.0, 0.0]",./data/acc_test_20210828-004053.csv
0.1,1000,100,1,"[1.0, 0.0]",./data/acc_test_20210828-005621.csv
0.1,1000,100,1,"[1.0, 0.0]",./data/acc_test_20210828-011148.csv
0.1,1000,100,3,"[1.0, 0.0]",./data/acc_test_20210828-013250.csv
0.1,1000,100,3,"[1.0, 0.0]",./data/acc_test_20210828-015350.csv
0.1,1000,100,7,"[1.0, 0.0]",./data/acc_test_20210828-022520.csv
0.1,1000,100,7,"[1.0, 0.0]",./data/acc_test_20210828-025642.csv
